ID,기능(대),기능(중),대상 사용자,원 우선순위,구현 상태,근거,상업용 판정,비고
OWN-4,임대인 포털,공지 목록 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
OWN-5,임대인 포털,개별 공지 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
OWN-6,임대인 포털,요청 현황 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
OWN-7,임대인 포털,보고서 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
TEN-1,입주자 포털,계약 정보 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-2,입주자 포털,수납 내역 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-3,입주자 포털,요청 목록 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-4,입주자 포털,요청 등록,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-5,입주자 포털,요청 상세 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-6,입주자 포털,공용 시설 예약,입주자,낮음(2nd Phase),미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-7,입주자 포털,예약 내역 확인,입주자,낮음(2nd Phase),미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-8,입주자 포털,예약 상세 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-9,입주자 포털,받은 알림 목록 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-10,입주자 포털,공지 목록 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-11,입주자 포털,개별 공지 조회,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
TEN-12,입주자 포털,정보 수정 요청,입주자,,미구현,입주자 포털 전 페이지가 빈 화면,재정의,상업용은 '임차사 포털'로 축소 재정의
DOC-1,문서 보관함,문서 목록 조회,전 사용자,,부분,서버 액션 6개 완비. 독립 화면만 없음(3줄),유지,저비용 — 화면만 붙이면 됨
DOC-2,문서 보관함,개별 문서 조회,전 사용자,,부분,건물 상세 문서탭은 동작,유지,
DOC-3,문서 보관함,문서 업로드,"슈퍼관리자, 관리자",,부분,createDocument 동작,유지,
NTF-1,알림 센터,공지 목록 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-2,알림 센터,공지 등록,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-3,알림 센터,공지 상세 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-4,알림 센터,알림 목록 조회,전 사용자,,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-5,알림 센터,개별 알림 조회,전 사용자,,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-6,알림 센터,발송 내역 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-7,알림 센터,알림 직접 발송 (수동),"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-8,알림 센터,템플릿 목록 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-9,알림 센터,템플릿 등록,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-10,알림 센터,템플릿 상세 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-11,알림 센터,템플릿 미리보기,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-12,알림 센터,발송 알림 규칙 목록 조회,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-13,알림 센터,발송 알림 규칙 등록,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
NTF-14,알림 센터,규칙 상세/수정,"슈퍼관리자, 관리자",,미구현,AlarmConfig 참조 0곳. 템플릿·공지 테이블 없음,축소,14개→핵심 4~5개로 줄이는 것 권장
DASH-1,대시보드 관리,핵심 지표 정리,"슈퍼관리자, 관리자",,완성,dashboard 307줄 집계 쿼리,수정,상업용 지표로 교체
